Path,Line Coverage,Function Coverage,Region Coverage
src/pdns/ext/luawrapper/include/LuaContext.hpp,0.00% (0/607),0.00% (0/63),0.00% (0/63)
src/pdns/pdns/ascii.hh,38.46% (5/13),33.33% (1/3),45.45% (5/11)
src/pdns/pdns/dns.cc,0.00% (0/53),0.00% (0/8),0.00% (0/39)
src/pdns/pdns/dns.hh,0.00% (0/13),0.00% (0/5),0.00% (0/5)
src/pdns/pdns/dnscrypt.hh,0.00% (0/2),0.00% (0/1),0.00% (0/1)
src/pdns/pdns/dnsdist-cache.cc,14.16% (49/346),21.05% (4/19),15.35% (31/202)
src/pdns/pdns/dnsdist-cache.hh,36.67% (11/30),22.22% (4/18),22.22% (4/18)
src/pdns/pdns/dnsdist-dynbpf.hh,0.00% (0/14),0.00% (0/5),0.00% (0/5)
src/pdns/pdns/dnsdist-ecs.cc,3.76% (29/772),4.17% (1/24),8.47% (35/413)
src/pdns/pdns/dnsdist-lbpolicies.hh,0.00% (0/12),0.00% (0/5),0.00% (0/5)
src/pdns/pdns/dnsdist.hh,0.00% (0/458),0.00% (0/83),0.00% (0/92)
src/pdns/pdns/dnslabeltext.cc,0.00% (0/782),0.00% (0/5),0.00% (0/260)
src/pdns/pdns/dnsname.cc,26.57% (93/350),13.33% (4/30),27.46% (81/295)
src/pdns/pdns/dnsname.hh,1.39% (4/287),5.00% (2/40),3.17% (2/63)
src/pdns/pdns/dnsparser.cc,0.00% (0/761),0.00% (0/41),0.00% (0/432)
src/pdns/pdns/dnsparser.hh,0.00% (0/250),0.00% (0/50),0.00% (0/81)
src/pdns/pdns/dnswriter.cc,0.00% (0/357),0.00% (0/23),0.00% (0/178)
src/pdns/pdns/dnswriter.hh,0.00% (0/39),0.00% (0/11),0.00% (0/17)
src/pdns/pdns/doh.hh,0.00% (0/40),0.00% (0/14),0.00% (0/14)
src/pdns/pdns/dolog.hh,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/pdns/pdns/ednsoptions.cc,46.23% (49/106),40.00% (2/5),48.86% (43/88)
src/pdns/pdns/ednssubnet.cc,61.82% (34/55),33.33% (1/3),82.35% (28/34)
src/pdns/pdns/fuzz_dnsdistcache.cc,85.19% (23/27),100.00% (1/1),75.00% (6/8)
src/pdns/pdns/iputils.cc,6.10% (21/344),4.76% (1/21),6.08% (11/181)
src/pdns/pdns/iputils.hh,6.24% (54/865),6.84% (8/117),5.26% (23/437)
src/pdns/pdns/lock.hh,21.95% (9/41),22.22% (4/18),22.22% (4/18)
src/pdns/pdns/misc.cc,5.15% (58/1127),2.33% (2/86),4.84% (34/702)
src/pdns/pdns/misc.hh,0.00% (0/246),0.00% (0/37),0.00% (0/89)
src/pdns/pdns/mplexer.hh,0.00% (0/112),0.00% (0/19),0.00% (0/19)
src/pdns/pdns/noinitvector.hh,70.00% (7/10),75.00% (3/4),75.00% (3/4)
src/pdns/pdns/packetcache.hh,30.36% (51/168),20.00% (1/5),89.36% (42/47)
src/pdns/pdns/pdnsexception.hh,0.00% (0/4),0.00% (0/4),0.00% (0/4)
src/pdns/pdns/proxy-protocol.hh,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/pdns/pdns/qtype.cc,11.29% (7/62),12.50% (1/8),5.41% (2/37)
src/pdns/pdns/qtype.hh,0.00% (0/23),0.00% (0/9),0.00% (0/9)
src/pdns/pdns/sholder.hh,0.00% (0/18),0.00% (0/4),0.00% (0/4)
src/pdns/pdns/snmp-agent.hh,0.00% (0/13),0.00% (0/2),0.00% (0/2)
src/pdns/pdns/stat_t.hh,33.33% (6/18),33.33% (2/6),33.33% (2/6)
src/pdns/pdns/svc-records.cc,0.00% (0/129),0.00% (0/18),0.00% (0/92)
src/pdns/pdns/svc-records.hh,0.00% (0/5),0.00% (0/3),0.00% (0/3)
src/pdns/pdns/tcpiohandler.hh,0.00% (0/314),0.00% (0/39),0.00% (0/39)
Totals,5.74% (510/8884),4.88% (42/860),8.86% (356/4020)
