Path,Line Coverage,Function Coverage,Region Coverage
src/pdns/pdns/ascii.hh,0.00% (0/13),0.00% (0/3),0.00% (0/3)
src/pdns/pdns/dns.hh,0.00% (0/13),0.00% (0/5),0.00% (0/5)
src/pdns/pdns/dnslabeltext.cc,22.42% (176/785),20.00% (1/5),19.77% (52/263)
src/pdns/pdns/dnsname.hh,0.00% (0/286),0.00% (0/38),0.00% (0/38)
src/pdns/pdns/fuzz_dnslabeltext_parseRFC1035CharString.cc,100.00% (6/6),100.00% (1/1),100.00% (1/1)
src/pdns/pdns/iputils.hh,0.00% (0/898),0.00% (0/97),0.00% (0/97)
src/pdns/pdns/misc.hh,0.00% (0/244),0.00% (0/37),0.00% (0/37)
src/pdns/pdns/pdnsexception.hh,0.00% (0/4),0.00% (0/4),0.00% (0/4)
src/pdns/pdns/qtype.hh,0.00% (0/23),0.00% (0/9),0.00% (0/9)
src/pdns/pdns/svc-records.hh,0.00% (0/5),0.00% (0/3),0.00% (0/3)
Totals,7.99% (182/2277),0.99% (2/202),11.52% (53/460)
