Path,Line Coverage,Function Coverage,Region Coverage
src/pdns/pdns/ascii.hh,0.00% (0/13),0.00% (0/3),0.00% (0/3)
src/pdns/pdns/dns.hh,0.00% (0/13),0.00% (0/5),0.00% (0/5)
src/pdns/pdns/dnsname.hh,0.00% (0/286),0.00% (0/38),0.00% (0/38)
src/pdns/pdns/fuzz_proxyprotocol.cc,73.33% (11/15),100.00% (1/1),60.00% (3/5)
src/pdns/pdns/iputils.hh,2.68% (24/896),3.09% (3/97),11.82% (13/110)
src/pdns/pdns/misc.hh,0.00% (0/244),0.00% (0/37),0.00% (0/37)
src/pdns/pdns/pdnsexception.hh,0.00% (0/4),0.00% (0/4),0.00% (0/4)
src/pdns/pdns/proxy-protocol.cc,64.71% (110/170),40.00% (2/5),72.63% (69/95)
src/pdns/pdns/proxy-protocol.hh,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/pdns/pdns/qtype.hh,0.00% (0/23),0.00% (0/9),0.00% (0/9)
Totals,8.70% (145/1667),3.00% (6/200),27.69% (85/307)
