Path,Line Coverage,Function Coverage,Region Coverage
src/pdns/pdns/arguments.hh,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/pdns/pdns/ascii.hh,100.00% (13/13),100.00% (3/3),100.00% (17/17)
src/pdns/pdns/base32.cc,0.00% (0/92),0.00% (0/5),0.00% (0/58)
src/pdns/pdns/base64.cc,0.00% (0/51),0.00% (0/2),0.00% (0/24)
src/pdns/pdns/dns.hh,7.69% (1/13),20.00% (1/5),20.00% (1/5)
src/pdns/pdns/dnslabeltext.cc,27.64% (217/785),20.00% (1/5),29.66% (78/263)
src/pdns/pdns/dnsname.cc,26.29% (92/350),16.67% (5/30),24.07% (71/295)
src/pdns/pdns/dnsname.hh,10.07% (29/288),26.83% (11/41),36.99% (27/73)
src/pdns/pdns/dnsparser.cc,2.10% (16/761),9.76% (4/41),0.93% (4/432)
src/pdns/pdns/dnsparser.hh,7.54% (19/252),5.77% (3/52),15.31% (15/98)
src/pdns/pdns/dnsrecords.cc,14.47% (77/532),10.91% (6/55),2.21% (6/272)
src/pdns/pdns/dnsrecords.hh,2.39% (5/209),1.59% (1/63),1.02% (1/98)
src/pdns/pdns/dnswriter.cc,0.00% (0/357),0.00% (0/23),0.00% (0/178)
src/pdns/pdns/dnswriter.hh,0.00% (0/39),0.00% (0/11),0.00% (0/17)
src/pdns/pdns/fuzz_zoneparsertng.cc,100.00% (25/25),100.00% (2/2),100.00% (10/10)
src/pdns/pdns/iputils.hh,0.00% (0/900),0.00% (0/98),0.00% (0/181)
src/pdns/pdns/lock.hh,0.00% (0/41),0.00% (0/18),0.00% (0/18)
src/pdns/pdns/logger.cc,0.00% (0/123),0.00% (0/14),0.00% (0/41)
src/pdns/pdns/logger.hh,0.00% (0/36),0.00% (0/10),0.00% (0/10)
src/pdns/pdns/misc.cc,1.51% (17/1129),1.16% (1/86),1.55% (11/708)
src/pdns/pdns/misc.hh,24.90% (62/249),15.79% (6/38),46.53% (47/101)
src/pdns/pdns/noinitvector.hh,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/pdns/pdns/nsecrecords.cc,5.04% (13/258),13.33% (4/30),4.30% (4/93)
src/pdns/pdns/pdnsexception.hh,25.00% (1/4),25.00% (1/4),25.00% (1/4)
src/pdns/pdns/qtype.cc,19.35% (12/62),25.00% (2/8),13.51% (5/37)
src/pdns/pdns/qtype.hh,30.43% (7/23),33.33% (3/9),33.33% (3/9)
src/pdns/pdns/rcpgenerator.cc,0.00% (0/680),0.00% (0/50),0.00% (0/425)
src/pdns/pdns/rcpgenerator.hh,0.00% (0/8),0.00% (0/4),0.00% (0/4)
src/pdns/pdns/sillyrecords.cc,1.72% (4/232),12.50% (1/8),0.65% (1/155)
src/pdns/pdns/sstuff.hh,0.00% (0/233),0.00% (0/30),0.00% (0/30)
src/pdns/pdns/statbag.cc,1.57% (4/254),2.50% (1/40),0.71% (1/140)
src/pdns/pdns/statbag.hh,0.00% (0/35),0.00% (0/7),0.00% (0/12)
src/pdns/pdns/svc-records.cc,0.00% (0/129),0.00% (0/18),0.00% (0/92)
src/pdns/pdns/svc-records.hh,0.00% (0/5),0.00% (0/3),0.00% (0/3)
src/pdns/pdns/unix_utility.cc,0.00% (0/136),0.00% (0/13),0.00% (0/119)
src/pdns/pdns/zoneparser-tng.cc,88.01% (389/442),73.33% (11/15),88.67% (313/353)
src/pdns/pdns/zoneparser-tng.hh,42.86% (3/7),33.33% (1/3),33.33% (1/3)
Totals,11.47% (1006/8768),8.01% (68/849),14.08% (617/4383)
